RevisionID:,0106.0036.0012.0002.0022
File Name:,HC900-C75S Rev 7.2x : WEB_SIS_241224 *
Controller Name,WEBSIS
Title:,
Author:,
Created Date:,2/14/2005 7:38:48 AM
Modified Date:,12/24/2024 5:25:30 AM

Report Title:,Modbus Signal Tags and Variables Report [Process & Safety]

Hex Addr,Dec Addr,Tag Name,Description,Type,#,Data Type,EU,Decimal Places,Tag Type,'On' Label,'Off' Label,Initial/Source
0x18C0,6337,PZIT-W201A,1001;AI,Variable,1,float 32,,0,Analog, , ,0.00
0x18C2,6339,PZIT-W201A_RH,,Variable,2,float 32,,0,Analog, , ,100.00
0x18C4,6341,PZIT-W201A_RL,,Variable,3,float 32,,0,Analog, , ,0.00
0x18C6,6343,PZIT-W201A_HH_V,,Variable,4,float 32,,0,Analog, , ,100.00
0x18C8,6345,PZIT-W201A_LL_V,,Variable,5,float 32,,0,Analog, , ,0.00
0x18CA,6347,PZIT-W201A_DELAY,,Variable,6,float 32,,1,Analog, , ,0.00
0x18CC,6349,PZIT-W201A_ACK,Acknowledge,Variable,7,float 32, , ,Digital,ON,OFF,OFF
0x18CE,6351,PZIT-W201A_MANON,,Variable,8,float 32, , ,Digital,ON,OFF,OFF
0x18D0,6353,PZIT-W201A_MOS,,Variable,9,float 32, , ,Digital,ON,OFF,OFF
0x18D2,6355,PZIT-W202A_MOS,,Variable,10,float 32, , ,Digital,ON,OFF,OFF
0x18D4,6357,PZIT-W202A_MANON,,Variable,11,float 32, , ,Digital,ON,OFF,OFF
0x18D6,6359,PZIT-W202A_ACK,Acknowledge,Variable,12,float 32, , ,Digital,ON,OFF,OFF
0x18D8,6361,PZIT-W202A_DELAY,,Variable,13,float 32,,1,Analog, , ,0.00
0x18DA,6363,PZIT-W202A_LL_V,,Variable,14,float 32,,0,Analog, , ,0.00
0x18DC,6365,PZIT-W202A_HH_V,,Variable,15,float 32,,0,Analog, , ,100.00
0x18DE,6367,PZIT-W202A_RL,,Variable,16,float 32,,0,Analog, , ,0.00
0x18E0,6369,PZIT-W202A_RH,,Variable,17,float 32,,0,Analog, , ,100.00
0x18E2,6371,PZIT-W202A,,Variable,18,float 32,,0,Analog, , ,0.00
0x18E4,6373,PZIT-W203A,,Variable,19,float 32,,0,Analog, , ,0.00
0x18E6,6375,PZIT-W203A_RH,,Variable,20,float 32,,0,Analog, , ,100.00
0x18E8,6377,PZIT-W203A_RL,,Variable,21,float 32,,0,Analog, , ,0.00
0x18EA,6379,PZIT-W203A_HH_V,,Variable,22,float 32,,0,Analog, , ,100.00
0x18EC,6381,PZIT-W203A_LL_V,,Variable,23,float 32,,0,Analog, , ,0.00
0x18EE,6383,PZIT-W203A_DELAY,,Variable,24,float 32,,1,Analog, , ,0.00
0x18F0,6385,PZIT-W203A_ACK,Acknowledge,Variable,25,float 32, , ,Digital,ON,OFF,OFF
0x18F2,6387,PZIT-W203A_MANON,,Variable,26,float 32, , ,Digital,ON,OFF,OFF
0x18F4,6389,PZIT-W203A_MOS,,Variable,27,float 32, , ,Digital,ON,OFF,OFF
0x18F6,6391,PZIT-W208A,,Variable,28,float 32,,0,Analog, , ,0.00
0x18F8,6393,PZIT-W208A_RH,,Variable,29,float 32,,0,Analog, , ,150.00
0x18FA,6395,PZIT-W208A_RL,,Variable,30,float 32,,0,Analog, , ,0.00
0x18FC,6397,PZIT-W208A_HH_V,,Variable,31,float 32,,0,Analog, , ,109.00
0x18FE,6399,PZIT-W208A_LL_V,,Variable,32,float 32,,0,Analog, , ,0.00
0x1900,6401,PZIT-W208A_DELAY,,Variable,33,float 32,,1,Analog, , ,0.00
0x1902,6403,PZIT-W208A_ACK,Acknowledge,Variable,34,float 32, , ,Digital,ON,OFF,OFF
0x1904,6405,PZIT-W208A_MANON,,Variable,35,float 32, , ,Digital,ON,OFF,OFF
0x1906,6407,PZIT-W208A_MOS,,Variable,36,float 32, , ,Digital,ON,OFF,OFF
0x1908,6409,PZIT-W207A,,Variable,37,float 32,,0,Analog, , ,0.00
0x190A,6411,PZIT-W207A_RH,,Variable,38,float 32,,0,Analog, , ,150.00
0x190C,6413,PZIT-W207A_RL,,Variable,39,float 32,,0,Analog, , ,0.00
0x190E,6415,PZIT-W207A_HH_V,,Variable,40,float 32,,0,Analog, , ,100.00
0x1910,6417,PZIT-W207A_LL_V,,Variable,41,float 32,,0,Analog, , ,50.00
0x1912,6419,PZIT-W207A_DELAY,,Variable,42,float 32,,1,Analog, , ,0.00
0x1914,6421,PZIT-W207A_ACK,Acknowledge,Variable,43,float 32, , ,Digital,ON,OFF,OFF
0x1916,6423,PZIT-W207A_MANON,,Variable,44,float 32, , ,Digital,ON,OFF,OFF
0x1918,6425,PZIT-W207A_MOS,,Variable,45,float 32, , ,Digital,ON,OFF,OFF
0x191A,6427,LZIT-605A,,Variable,46,float 32,,0,Analog, , ,0.00
0x191C,6429,LZIT-605A_RH,,Variable,47,float 32,,0,Analog, , ,950.00
0x191E,6431,LZIT-605A_RL,,Variable,48,float 32,,0,Analog, , ,150.00
0x1920,6433,LZIT-605A_HH_V,,Variable,49,float 32,,0,Analog, , ,800.00
0x1922,6435,LZIT-605A_LL_V,,Variable,50,float 32,,0,Analog, , ,0.00
