Tag No.,Tag Service,EU,P&ID No.,IO Type,System
100-ZSC-W904A,100-SDV-W904A  VALVE SWITCH CLOSE,,80289-PRO-PID-1001,DVFC,PCS
100-ZSO-W904A,100-SDV-W904A VALVE SWITCH OPEN,,80289-PRO-PID-1001,DVFC,PCS
100-ZSC-W904D,100-SDV-W904D-VALVE SWITCH CLOSE,,80289-PRO-PID-1004,DVFC,PCS
100-ZSO-W904D,100-SDV-W904D VALVE SWITCH OPEN,,80289-PRO-PID-1004,DVFC,PCS
100-ZSC-W904C,100-SDV-W904C-VALVE SWITCH CLOSE,,80289-PRO-PID-1003,DVFC,PCS
100-ZSO-W904C,100-SDV-W904C VALVE SWITCH OPEN,,80289-PRO-PID-1003,DVFC,PCS
100-ZSC-W905D,100-SDV-W905D- VALVE POSITION CLOSE,,80289-PRO-PID-1004,DVFC,PCS
100-ZSO-W905D,100-SDV-W905D-VALVE SWITCH OPEN,,80289-PRO-PID-1004,DVFC,PCS
100-ZSC-W905A,100-SDV-W905A- VALVE POSITION CLOSE,,80289-PRO-PID-1001,DVFC,PCS
100-ZSO-W905A,100-SDV-W905A-VALVE SWITCH OPEN,,80289-PRO-PID-1001,DVFC,PCS
100-ZSC-W904B,100-SDV-W904B VALVE SWITCH Close,,80289-PRO-PID-1002,DVFC,PCS
100-ZSO-W904B,100-SDV-W904B VALVE SWITCH OPEN,,80289-PRO-PID-1002,DVFC,PCS
100-ZSC-W905C,100-SDV-W905C- VALVE POSITION CLOSE,,80289-PRO-PID-1003,DVFC,PCS
100-ZSO-W905C,100-SDV-W905C-VALVE SWITCH OPEN,,80289-PRO-PID-1003,DVFC,PCS
100-ZSC-W905B,100-SDV-W905B- VALVE POSITION CLOSE,,80289-PRO-PID-1002,DVFC,PCS
100-ZSO-W905B,100-SDV-W905B-VALVE SWITCH OPEN,,80289-PRO-PID-1002,DVFC,PCS
100-PB-302,AUTO OPERATION KEY SWITCH,,-,DVFC,PCS
100-PB-303,MANUAL OPERATION KEY SWITCH,,-,DVFC,PCS
100-PB-304,TEST KEY SWITCH,,-,DVFC,PCS
100-PB-305,INHIBIT KEY SWITCH,,-,DVFC,PCS
100-PB-306,ABORT PUSH BUTTON,,-,DVFC,PCS
100-XS-021,UPS A COMMON ALARM,,,DVFC,PCS
100-XS-022,UPS B COMMON ALARM,,,DVFC,PCS
100-XS-023,UPS A CB STATUS,,,DVFC,PCS
100-XS-024,UPS B CB STATUS,,,DVFC,PCS
100-PIT-214A,DISCHARGE OF 100-P-004A,,80289-PRO-PID-1016,AI,PCS
100-PIT-214B,DISCHARGE OF 100-P-004B,,80289-PRO-PID-1016,AI,PCS
100-PIT-215,TO ACCOMMODATION MODULE,,80289-PRO-PID-1016,AI,PCS
100-LIT-608,100-TK-005 FRESH WATER TANK,,80289-PRO-PID-1016,AI,PCS
100-PIT-218,TO VENT CLOSED DRAIN KNOCKOUT DRUM,,80289-PRO-PID-1014,AI,PCS
100-PIT-W204A,OUTLET FROM WEB NE WELLHEAD,,80289-PRO-PID-1001,AI,PCS
100-PIT-W204B,OUTLET FROM WEB NW WELLHEAD,,80289-PRO-PID-1002,AI,PCS
100-PIT-W204C,OUTLET FROM WEB SE WELLHEAD,,80289-PRO-PID-1003,AI,PCS
100-PIT-W204D,OUTLET FROM WEB SW WELLHEAD,,80289-PRO-PID-1004,AI,PCS
100-TIT-W401A,OUTLET FROM WEB NE WELLHEAD,,80289-PRO-PID-1001,AI,PCS
100-TIT-W401D,OUTLET FROM WEB SW WELLHEAD,,80289-PRO-PID-1004,AI,PCS
100-XZT-W904A,100-HCV-W904A- CHOKE VALVE,,80289-PRO-PID-1001,AI,PCS
100-TIT-W401B,OUTLET FROM WEB NW WELLHEAD,,80289-PRO-PID-1002,AI,PCS
100-FIT-110,FLOW LINE TO 100-V-001 VENT/CLOSED DRAIN KNOCKOUT DRUM,,80289-PRO-PID-1010 SHEET 1 OF 2,AI,PCS
100-XZT-W904D,100-HCV-W904D - CHOKE VALVE,,80289-PRO-PID-1004,AI,PCS
100-XZT-W904B,100-HCV-W904B- CHOKE VALVE,,80289-PRO-PID-1002,AI,PCS
100-TIT-W401C,OUTLET FROM WEB SE WELLHEAD,,80289-PRO-PID-1003,AI,PCS
100-XZT-W904C,100-HCV-W904C- CHOKE VALVE,,80289-PRO-PID-1003,AI,PCS
100-PIT-W217A,OUTLET FROM WEB NE WELLHEAD,,80289-PRO-PID-1001,AI,PCS
100-PIT-W206A,OUTLET FROM WEB NE WELLHEAD,,80289-PRO-PID-1001,AI,PCS
100-PIT-W209A,OUTLET FROM WEB NE WELLHEAD,,80289-PRO-PID-1001,AI,PCS
100-PIT-W217B,OUTLET FROM WEB NW WELLHEAD,,80289-PRO-PID-1002,AI,PCS
100-PIT-W206B,OUTLET FROM WEB NW WELLHEAD,,80289-PRO-PID-1002,AI,PCS
100-PIT-W209B,OUTLET FROM WEB NW WELLHEAD,,80289-PRO-PID-1002,AI,PCS
100-PIT-W217C,OUTLET FROM WEB SE WELLHEAD,,80289-PRO-PID-1003,AI,PCS
100-PIT-W206C,OUTLET FROM WEB SE WELLHEAD,,80289-PRO-PID-1003,AI,PCS
100-PIT-W209C,OUTLET FROM WEB SE WELLHEAD,,80289-PRO-PID-1003,AI,PCS
100-PIT-W217D,OUTLET FROM WEB SW WELLHEAD,,80289-PRO-PID-1004,AI,PCS
100-PIT-W206D,OUTLET FROM WEB SW WELLHEAD,,80289-PRO-PID-1004,AI,PCS
100-PIT-W209D,OUTLET FROM WEB SW WELLHEAD,,80289-PRO-PID-1004,AI,PCS
100-SIT-W901A,FROM WEB NE WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-FIT-W101A,FROM WEB NE WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-PIT-W205A,FROM WEB NE WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-TIT-W402A,FROM WEB NE WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-SIT-W901B,FROM WEB NW WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-FIT-W101B,FROM WEB NW WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-PIT-W205B,FROM WEB NW WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-TIT-W402B,FROM WEB NW WELLHEAD,,80289-PRO-PID-1007,AI,PCS
100-PT-332,ON NITROGEN MANIFOLD,,80289-HSE-PID-1001,AI,PCS
100-PIT-212A,DISCHARGE OF 100-P-005A,,80289-PRO-PID-1009,AI,PCS
100-PIT-212B,DISCHARGE OF 100-P-005B,,80289-PRO-PID-1009,AI,PCS
100-HSBR-004A,100-P-004A FRESH WATER PUMP,,80289-PRO-PID-1016,DPM,PCS
100-HSAR-004A,100-P-004A FRESH WATER PUMP,,80289-PRO-PID-1016,DPM,PCS
100-HSBR-004B,100-P-004B FRESH WATER PUMP,,80289-PRO-PID-1016,DPM,PCS
100-HSAR-004B,100-P-004B FRESH WATER PUMP,,80289-PRO-PID-1016,DPM,PCS
100-HSBR-005A,100-P-005A DIESEL PUMP,,80289-PRO-PID-1009,DPM,PCS
100-HSAR-005A,100-P-005A DIESEL PUMP,,80289-PRO-PID-1009,DPM,PCS
100-HSBR-005B,100-P-005B DIESEL PUMP,,80289-PRO-PID-1009,DPM,PCS
100-HSAR-005B,100-P-005B DIESEL PUMP,,80289-PRO-PID-1009,DPM,PCS
100-HSBR-MX-001,100-MX-001 CORRISION INHIBITOR TANK MIXER,,80289-PRO-PID-1011,DPM,PCS
100-HSAR-MX-001,100-MX-001 CORRISION INHIBITOR TANK MIXER,,80289-PRO-PID-1011,DPM,PCS
100-HSBR-001A,100-P-001A CORRISION INHIBITOR PUMP,,80289-PRO-PID-1011,DPM,PCS
100-HSAR-001A,100-P-001A CORRISION INHIBITOR PUMP,,80289-PRO-PID-1011,DPM,PCS
100-HSBR-001B,100-P-001B CORRISION INHIBITOR PUMP,,80289-PRO-PID-1011,DPM,PCS
100-HSAR-001B,100-P-001B CORRISION INHIBITOR PUMP,,80289-PRO-PID-1011,DPM,PCS
100-HSBR-MX-002,100-MX-002 KHI TANK MIXER,,80289-PRO-PID-1012,DPM,PCS
100-HSAR-MX-002,100-MX-002 KHI TANK MIXER,,80289-PRO-PID-1012,DPM,PCS
100-HSBR-002A,100-P-002A KHI PUMP,,80289-PRO-PID-1012,DPM,PCS
100-HSAR-002A,100-P-002A KHI PUMP,,80289-PRO-PID-1012,DPM,PCS
100-HSBR-002B,100-P-002B KHI PUMP,,80289-PRO-PID-1012,DPM,PCS
100-HSAR-002B,100-P-002B KHI PUMP,,80289-PRO-PID-1012,DPM,PCS
100-HSBR-003A,100-P-003A METHANOL PUMP,,80289-PRO-PID-1013,DP (NE),PCS
100-HSBR-003B,100-P-003B METHANOL PUMP,,80289-PRO-PID-1013,DP (NE),PCS
100-HSBR-MX-008,100-MX-008 SCALE INHIBITOR TANK MIXER,,80289-PRO-PID-1015,DPM,PCS
100-HSAR-MX-008,100-MX-008 SCALE INHIBITOR TANK MIXER,,80289-PRO-PID-1015,DPM,PCS
100-HSBR-008A,100-P-008A SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DPM,PCS
100-HSAR-008A,100-P-008A SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DPM,PCS
100-HSBR-008B,100-P-008B SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DPM,PCS
100-HSAR-008B,100-P-008B SCALE INHIBITOR PUMP,,80289-PRO-PID-1015,DPM,PCS
100-HY-W904-1A,100-HCV-W904A- CHOKE VALVE,,80289-PRO-PID-1001,DPM,PCS
