Hex_Add,Tag_Fn,Desc,EU
0x18C2,VAR002D,, 
0x18EA,PZIT-219-2_ACK,PZIT-219-1_ACK, 
0x18EC,PZIT-219-2_V,,barg
0x18EE,PZIT-219-2_FORCE,, 
0x18F0,PZIT-219-2_LL_V,,barg
0x18F2,PZIT-219-2_HH_V,,barg
0x18F4,PZIT-219-2_AL_EN,, 
0x18F6,PS-906_V,ESD-PUSH BUTTON, 
0x18F8,PS-906_FORCE,, 
0x18FA,PS-906_H_EN,, 
0x18FC,PS-906_L_EN,, 
0x18FE,PS-906_ACK,HS-ESD-001_ACK, 
0x1900,P-006B_FORCE,, 
0x1902,P-006B_TRIP_CMD,P-001A_TRIP_CMD, 
0x1904,P-006B_M_V,P-001A Man Value, 
0x1906,P-006B_A_V,P001A_Auto Value, 
0x1908,P-006B_FB,P-001A Feedback, 
0x190A,P-006B,100-P-001A, 
0x190C,P-006B_ACK,P-001A ACK, 
0x190E,P-006B_SIM,, 
0x1910,P-006B_RESET,P-001A Reset CHs, 
0x1912,SY-W902A_FB_CLS,SY-W902A_FB_CLS, 
0x1914,SY-W902A_T_CMD,P-001A_TRIP_CMD, 
0x1916,SY-W902A_M_V,P-001A Man Value, 
0x1918,SY-W902A_A_V,P001A_Auto Value, 
0x191A,SY-W902A_FB_OPN,SY-W902A_FB_OPN, 
0x191C,SY-W902A,100-P-001A, 
0x191E,SY-W902A_ACK,P-001A ACK, 
0x1920,SY-W902A_SIM,, 
0x1922,SY-W902A_RESET,P-001A Reset CHs, 
0x1924,SY-W901A_FORCE,, 
0x2028,PZIT-219-2_CH,,barg
0x202A,PZIT-219-2_STAT,, 
0x202C,PZIT-219-2_LL,, 
0x202E,PZIT-219-2_HH,, 
0x2030,PS-906_CH,, 
0x2032,PS-906_H,, 
0x2034,PS-906_L,, 
0x2036,PS-906_STAT,, 
0x2038,HSBR-006A,, 
0x203A,HSAR-006A,, 
0x203C,HSAR-006A_STATUS,, 
0x203E,XS-006A,, 
0x2040,XS-006A_STATUS,, 
0x2042,HSBR-006A_STATUS,, 
0x2044,P-006B_M_VALUE,P-006B Man_Value, 
0x2046,P-006B_A_VALUE,P-006B Aut Value, 
0x2048,P-006B_TRIPPED,P-006B_TRIPPED, 
0x204A,P-006B_ACK_ON,, 
0x204C,P-006B_RESTART,P-001A_RESTART, 
0x2050,SY-W902A_CH,, 
0x2052,SY-W902A_STATUS,, 
0x205A,SY-W902A_M_VALUE,P-006B Man_Value, 
0x205C,SY-W902A_A_VALUE,P-006B Aut Value, 
0x205E,SY-W902A_TRIPPED,P-006B_TRIPPED, 
0x2060,SY-W902A_ACK_ON,, 
0x2062,SY-W902A_RESTART,P-001A_RESTART, 
